,0
metadata_participant_47_stimuli_06_sacc_chap_05.pt,0.25546970000113794
metadata_participant_118_stimuli_12_sacc_chap_09.pt,0.3614597029857239
metadata_participant_81_stimuli_12_sacc_chap_16.pt,0.18996052029903535
metadata_participant_100_stimuli_14_sacc_chap_02.pt,0.20386013766092254
metadata_participant_117_stimuli_12_sacc_chap_15.pt,0.16062712951058025
metadata_participant_68_stimuli_04_sacc_chap_02.pt,0.265263504927911
metadata_participant_44_stimuli_04_sacc_chap_09.pt,0.18922950268242444
metadata_participant_17_stimuli_06_sacc_chap_06.pt,0.15160925187776128
metadata_participant_79_stimuli_02_sacc_chap_04.pt,0.25144634152179857
metadata_participant_55_stimuli_02_sacc_chap_10.pt,0.1277385881357247
metadata_participant_50_stimuli_13_sacc_chap_02.pt,0.2996233167630288
metadata_participant_84_stimuli_01_sacc_chap_05.pt,0.18592810067427407
metadata_participant_93_stimuli_03_sacc_chap_16.pt,0.3616930951693558
metadata_participant_47_stimuli_06_sacc_chap_06.pt,0.19755973741553007
metadata_participant_43_stimuli_02_sacc_chap_09.pt,0.21739900202291448
metadata_participant_92_stimuli_11_sacc_chap_05.pt,0.37280961189468326
metadata_participant_65_stimuli_03_sacc_chap_01.pt,0.20256527362563884
metadata_participant_72_stimuli_06_sacc_chap_10.pt,0.32275979877194294
metadata_participant_71_stimuli_02_sacc_chap_03.pt,0.18911532260519795
metadata_participant_45_stimuli_03_sacc_chap_16.pt,0.35625985394353454
metadata_participant_80_stimuli_09_sacc_chap_05.pt,0.23347564996528264
metadata_participant_65_stimuli_14_sacc_chap_12.pt,0.42174125528966544
metadata_participant_79_stimuli_12_sacc_chap_13.pt,0.15628577461765483
metadata_participant_103_stimuli_09_sacc_chap_12.pt,0.20336763315705586
metadata_participant_21_stimuli_03_sacc_chap_05.pt,0.22062763137943578
metadata_participant_88_stimuli_14_sacc_chap_04.pt,0.18382100166580403
metadata_participant_104_stimuli_14_sacc_chap_11.pt,0.2407293537163329
metadata_participant_72_stimuli_06_sacc_chap_18.pt,0.19935713767554675
metadata_participant_100_stimuli_14_sacc_chap_03.pt,0.24757507020899838
metadata_participant_102_stimuli_09_sacc_chap_04.pt,0.23591798431255867
metadata_participant_85_stimuli_03_sacc_chap_07.pt,0.26333272693738596
metadata_participant_81_stimuli_12_sacc_chap_15.pt,0.16647984974776414
metadata_participant_94_stimuli_09_sacc_chap_04.pt,0.22684892859936662
metadata_participant_92_stimuli_09_sacc_chap_01.pt,0.1922194518303826
metadata_participant_43_stimuli_11_sacc_chap_24.pt,0.13866595194335246
metadata_participant_42_stimuli_01_sacc_chap_11.pt,0.25376049546077706
metadata_participant_44_stimuli_06_sacc_chap_20.pt,0.16785917514213317
metadata_participant_62_stimuli_02_sacc_chap_05.pt,0.4567583456832655
metadata_participant_78_stimuli_02_sacc_chap_05.pt,0.16667963212289072
metadata_participant_92_stimuli_09_sacc_chap_05.pt,0.306840483655551
metadata_participant_86_stimuli_12_sacc_chap_02.pt,0.2908174001201565
metadata_participant_81_stimuli_13_sacc_chap_08.pt,0.3577822353303545
metadata_participant_65_stimuli_04_sacc_chap_09.pt,0.16192199016563832
metadata_participant_103_stimuli_12_sacc_chap_08.pt,0.32174971750418047
metadata_participant_47_stimuli_14_sacc_chap_05.pt,0.26155626818903904
metadata_participant_47_stimuli_06_sacc_chap_20.pt,0.2102574973115398
metadata_participant_09_stimuli_06_sacc_chap_12.pt,0.20856666925498804
metadata_participant_65_stimuli_14_sacc_chap_14.pt,0.25330492431590146
metadata_participant_105_stimuli_12_sacc_chap_09.pt,0.19585187910635216
metadata_participant_118_stimuli_12_sacc_chap_15.pt,0.23958152273426886
metadata_participant_53_stimuli_01_sacc_chap_08.pt,0.2995678474862544
metadata_participant_73_stimuli_01_sacc_chap_06.pt,0.26093266704357415
metadata_participant_12_stimuli_14_sacc_chap_08.pt,0.21555984955428903
metadata_participant_65_stimuli_12_sacc_chap_10.pt,0.13502421721618882
